row_id,drink,date_modified,id_drink,alcoholic,category,drink_thumb,glass,iba,video,ingredient_number,ingredient,measure
401,Paradise,9/2/17 12:17,17190,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ejozd71504351060.jpg,Cocktail glass,Unforgettables,NA,3,Orange Juice,3 parts
402,Pina Colada,9/2/17 17:55,17207,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/cpf4j51504371346.jpg,Collins glass,Contemporary Classics,NA,1,Light rum,3 oz
402,Pina Colada,9/2/17 17:55,17207,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/cpf4j51504371346.jpg,Collins glass,Contemporary Classics,NA,2,Coconut milk,3 tblsp
402,Pina Colada,9/2/17 17:55,17207,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/cpf4j51504371346.jpg,Collins glass,Contemporary Classics,NA,3,Pineapple,3 tblsp
403,Pineapple Gingerale Smoothie,2/20/17 15:11,12718,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/eg9i1d1487603469.jpg,Highball Glass,NA,NA,1,Ginger,1/4 inch
403,Pineapple Gingerale Smoothie,2/20/17 15:11,12718,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/eg9i1d1487603469.jpg,Highball Glass,NA,NA,2,Pineapple,2-Jan
404,Pink Gin,9/8/17 17:36,11936,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qyr51e1504888618.jpg,White wine glass,NA,NA,1,Bitters,3 dashes
404,Pink Gin,9/8/17 17:36,11936,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qyr51e1504888618.jpg,White wine glass,NA,NA,2,Gin,2 oz
405,Pink Lady,9/8/17 17:23,11938,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/5ia6j21504887829.jpg,Cocktail glass,NA,NA,1,Gin,1 1/2 oz
405,Pink Lady,9/8/17 17:23,11938,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/5ia6j21504887829.jpg,Cocktail glass,NA,NA,2,Grenadine,1 tsp
405,Pink Lady,9/8/17 17:23,11938,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/5ia6j21504887829.jpg,Cocktail glass,NA,NA,3,Light cream,1 tsp
